TITLE,LINK,TIME,VIEWS
Cardi B - Up [Official Music Video],,,
,,,39M views
,,1 week ago,
,https://www.youtube.com/watch?v=rCiBgLOcuKU,,
SIDEMEN TINDER IN REAL LIFE 3,,,
,,,15M views
,,6 days ago,
,https://www.youtube.com/watch?v=KF8I09WBtEI,,
Lindiwe Takes Tumi Out â€“ The River 1 Magic,,,
,,,464K views
,,1 week ago,
,https://www.youtube.com/watch?v=3yCDOEWdcno,,
Ariana Grande - 34+35 Remix (feat. Doja Cat and Megan Thee Stallion) (Official Video),,,
,,,14M views
,,1 day ago,
,https://www.youtube.com/watch?v=ssq6X6alZ3w,,
If Food Were People! 16 Funny Situations!,,,
,,,9.2M views
,,5 days ago,
,https://www.youtube.com/watch?v=QLp3q0U0RmU,,
Megan Thee Stallion - Cry Baby (feat. DaBaby) [Official Video],,,
,,,18M views
,,1 week ago,
,https://www.youtube.com/watch?v=AqaQsL-8I_M,,
The Weekndâ€™s FULL Pepsi Super Bowl LV Halftime Show,,,
,,,25M views
,,5 days ago,
,https://www.youtube.com/watch?v=9rhadTURsrw,,
"Nasty C, Ari Lennox - Black And White (Official Music Video)",,,
,,,453K views
,,1 day ago,
,https://www.youtube.com/watch?v=kPxp6zntmHE,,
Lil Tjay - Calling My Phone (feat. 6LACK) [Official Video],,,
,,,4.9M views
,,1 day ago,
,https://www.youtube.com/watch?v=zzd4ydafGR0,,
Zuma-Malema meeting I Julius Malema arrives in Nkandla,,,
,,,295K views
,,1 week ago,
,https://www.youtube.com/watch?v=W2pzIpDB6eU,,
Al Ahly v Bayern Munich | FIFA Club World Cup Qatar 2020 | Match Highlights,,,
,,,2.3M views
,,5 days ago,
,https://www.youtube.com/watch?v=dfgdlf0OrrQ,,
FIRST TO FINISH ART SCHOOL WINS || Drawing Challenge! Funny Painting Handmade by 123 GO! SCHOOL,,,
,,,11M views
,,1 week ago,
,https://www.youtube.com/watch?v=WkdguvS_ug4,,
HIGHLIGHTS | LIVERPOOL 1-4 CITY,,,
,,,4M views
,,6 days ago,
,https://www.youtube.com/watch?v=j_6iRCcfYu8,,
'There was no agenda': Malema and Zuma meet up for tea at Nkandla,,,
,,,155K views
,,1 week ago,
,https://www.youtube.com/watch?v=ij6lu4nZOfI,,
Highlights Real Betis vs FC Barcelona (2-3),,,
,,,1.7M views
,,5 days ago,
,https://www.youtube.com/watch?v=hQ1OwCmVXC4,,
World's Longest Field Goal- Robot vs NFL Kicker,,,
,,,22M views
,,1 week ago,
,https://www.youtube.com/watch?v=P_6my53IlxY,,
Amapiano Live Balcony Mix Africa B2B Kelvin Momo S2 | EP 5,,,
,,,88K views
,,1 day ago,
,https://www.youtube.com/watch?v=J2G9vDnlSFM,,
Malome Vector - Nobody (Official Music Video),,,
,,,697K views
,,2 weeks ago,
,https://www.youtube.com/watch?v=-HlGqj53bkQ,,
WATCH LIVE | SONA 2021: President Cyril Ramaphosa delivers his address as SA grapples with Covid-19,,,
,,,104K views
,,Streamed 2 days ago,
,https://www.youtube.com/watch?v=hmQ4Hofv_co,,
Reds run riot against the Saints! | Manchester United 9-0 Southampton | Highlights | Premier League,,,
,,,4.6M views
,,1 week ago,
,https://www.youtube.com/watch?v=Y7eEVFq-XC8,,
"G-Eazy - Provide (Official Video) ft. Chris Brown, Mark Morrison",,,
,,,3.7M views
,,1 week ago,
,https://www.youtube.com/watch?v=kmMOASvXa9U,,
Impala Escapes Crocodile Only To Get Caught by Leopard!,,,
,,,2.3M views
,,4 days ago,
,https://www.youtube.com/watch?v=jKwRBMIDCSs,,
Breaking Up With a Polo Driver,,,
,,,122K views
,,1 week ago,
,https://www.youtube.com/watch?v=2NmHF8TlfCI,,
Makhadzi - Sugar Sugar Feat [Mampintsha],,,
,,,257K views
,,1 week ago,
,https://www.youtube.com/watch?v=91G-QlEAec8,,
Chiefs vs. Buccaneers | Super Bowl LV Game Highlights,,,
,,,9.5M views
,,5 days ago,
,https://www.youtube.com/watch?v=Gz5-NQROQGw,,
Juventus 2-0 Roma | CR7 Scores To Close The Gap At The Top | Serie A TIM,,,
,,,6.5M views
,,1 week ago,
,https://www.youtube.com/watch?v=RotTKG2qL3Y,,
Constitution v Zuma | Carte Blanche | M-Net,,,
,,,47K views
,,3 days ago,
,https://www.youtube.com/watch?v=IOex0pt2Qns,,
Toy Trick Shots | Dude Perfect,,,
,,,8.8M views
,,4 days ago,
,https://www.youtube.com/watch?v=cfZA6udrVUc,,
Taylor Swift - Love Story (Taylorâ€™s Version) [Official Lyric Video],,,
,,,8M views
,,1 day ago,
,https://www.youtube.com/watch?v=aXzVF3XeS8M,,
ðŸ¤¯ LATE COMEBACK DRAMA! | HIGHLIGHTS | Granada 3-5 BarÃ§a,,,
,,,7.1M views
,,1 week ago,
,https://www.youtube.com/watch?v=F4miQNlD9MQ,,
"Young M.A ""Off the Yak"" (Official Music Video)",,,
,,,883K views
,,1 day ago,
,https://www.youtube.com/watch?v=cOB7YpDkpi4,,
China just sent a â€˜chilling messageâ€™ to the rest of the world,,,
,,,2.6M views
,,5 days ago,
,https://www.youtube.com/watch?v=xUsntuFS3EY,,
Highlights | Manchester United 3-3 Everton | Premier League,,,
,,,2.2M views
,,6 days ago,
,https://www.youtube.com/watch?v=ZB6wp07_4RU,,
Tessica Brown Tears Up After Surgery to Remove Gorilla Glue From Her Hair,,,
,,,1M views
,,2 days ago,
,https://www.youtube.com/watch?v=kICE-OJcscA,,
Tumi Shows Lindiwe the Video â€“ The River | 1 Magic,,,
,,,209K views
,,1 week ago,
,https://www.youtube.com/watch?v=5bG4zcWHzFw,,
SURPRISING BEST FRIEND WITH HALSEY!!,,,
,,,4.1M views
,,4 days ago,
,https://www.youtube.com/watch?v=h8MgfBjVi-Q,,
Trumpâ€™s lawyer plays a video of Democrats and celebrities advocating violence at impeachment trial,,,
,,,625K views
,,1 day ago,
,https://www.youtube.com/watch?v=aj1Rwlztapg,,
'Iâ€™m not a cat': lawyer gets stuck on Zoom kitten filter during court case,,,
,,,6.7M views
,,4 days ago,
,https://www.youtube.com/watch?v=lGOofzZOyl8,,
If My Dad Runs the Movie Theater/ Funny Situations in the Movie Theater,,,
,,,15M views
,,2 weeks ago,
,https://www.youtube.com/watch?v=JIFwRQ6Unpg,,
Amapiano Live Balcony Mix Africa B2B Vigro Deep Live In Kenya | S2 | EP 4,,,
,,,224K views
,,1 week ago,
,https://www.youtube.com/watch?v=Gyd6Y6gsv9c,,
Manchester United v West Ham | Key Moments | Fifth Round | Emirates FA Cup 2020-21,,,
,,,1.7M views
,,4 days ago,
,https://www.youtube.com/watch?v=WBk-69-7U98,,
"I Spent 100 Hours Customizing The World's Largest PS5 ($70,000)",,,
,,,11M views
,,1 week ago,
,https://www.youtube.com/watch?v=gEMg5dOUk7Q,,
Lil Durk - Finesse Out The Gang Way feat. Lil Baby (Official Music Video),,,
,,,1M views
,,17 hours ago,
,https://www.youtube.com/watch?v=m2x-r1Cyrt0,,
MAN UNITED 3-3 EVERTON | PREMIER LEAGUE HIGHLIGHTS,,,
,,,1.8M views
,,6 days ago,
,https://www.youtube.com/watch?v=cItM3dIGbFs,,
Tessica Brown Wishes She NEVER Posted Gorilla Glue Video: Her Message to the Internet (Exclusive),,,
,,,1.6M views
,,3 days ago,
,https://www.youtube.com/watch?v=zwX0rsdlY80,,
The Real Housewives of Durban | Ayanda and Nonku Meet | Exclusive to Showmax,,,
,,,63K views
,,1 week ago,
,https://www.youtube.com/watch?v=j0gDnE7cl_M,,
Armed robbery in Pretoria at Fountains,,,
,,,89K views
,,1 week ago,
,https://www.youtube.com/watch?v=IFI1MHw650w,,
TikToker Who Used Gorilla Glue in Hair Says ER Couldnâ€™t Help,,,
,,,3.1M views
,,3 days ago,
,https://www.youtube.com/watch?v=E_VyOLlo76g,,
Magician FAILS on Omegle (CRAZY) - #Shorts,,,
,,,4.1M views
,,6 days ago,
,https://www.youtube.com/watch?v=0tPwLpQKQTA,,
Official Trailer | The Falcon and the Winter Soldier | Disney+,,,
,,,9.2M views
,,5 days ago,
,https://www.youtube.com/watch?v=IWBsDaFWyTE,,
Godzilla vs. Kong â€“ Official Trailer,,,
,,,60M views
,,2 weeks ago,
,https://www.youtube.com/watch?v=odM92ap8_c0,,
Funny Ways To Sneak SUPERHEROES Into the Movies! Superheroes Sneak FOOD Into Class by KABOOM!,,,
,,,8.2M views
,,2 weeks ago,
,https://www.youtube.com/watch?v=PPXnUUtk0qo,,
Busiswa - Makazi (feat. Mr JazziQ) Official Music Video,,,
,,,250K views
,,2 weeks ago,
,https://www.youtube.com/watch?v=adantgdC19M,,
Manchester United v Liverpool | Key Moments | Fourth Round | Emirates FA Cup 2020-21,,,
,,,7M views
,,2 weeks ago,
,https://www.youtube.com/watch?v=GKiwbv0ya9E,,
Rich Pregnant vs Broke Pregnant,,,
,,,6.6M views
,,3 weeks ago,
,https://www.youtube.com/watch?v=B1sGzmzd2zA,,
SummerYoMuthi,,,
,,,267K views
,,3 weeks ago,
,https://www.youtube.com/watch?v=8LumUyzoFAk,,
Olivia Rodrigo - drivers license (Official Video),,,
,,,116M views
,,1 month ago,
,https://www.youtube.com/watch?v=ZmDBbnmKpqQ,,
Amapiano Live Balcony Mix Africa B2B Kabza De Small | S2 | Ep2,,,
,,,687K views
,,4 weeks ago,
,https://www.youtube.com/watch?v=kII-uGSLPjM,,
Luh & Uncle - Uncle & Five G,,,
,,,539K views
,,3 weeks ago,
,https://www.youtube.com/watch?v=CFHwHLSJP74,,
Ekasi Learners S2 - Ep8 I got weed,,,
,,,128K views
,,1 week ago,
,https://www.youtube.com/watch?v=mtiUh8jWDXc,,
